season,team,points,annual_wages_gbp
2018-2019,Fulham,26,50919000
2018-2019,Huddersfield Town,16,35115000
2019-2020,Liverpool,99,114870000
2019-2020,Manchester City,81,148990000
2019-2020,Manchester United,66,165440000
2019-2020,Chelsea,66,119650000
2019-2020,Leicester City,62,73530000
2019-2020,Tottenham Hotspur,59,107580000
2019-2020,Wolverhampton Wanderers,59,54130000
2019-2020,Arsenal,56,118540000
2019-2020,Sheffield United,54,24180000
2019-2020,Burnley,54,44470000
2019-2020,Southampton,52,53540000
2019-2020,Everton,49,87930000
2019-2020,Newcastle United,44,67310000
2019-2020,Crystal Palace,43,74290000
2019-2020,Brighton & Hove Albion,41,48720000
2019-2020,West Ham United,39,74506000
2019-2020,Aston Villa,35,51150000
2019-2020,AFC Bournemouth,34,42350000
2019-2020,Watford,34,57670000
2019-2020,Norwich City,21,26190000
2020-2021,Manchester City,86,137678000
2020-2021,Manchester United,74,193410000
2020-2021,Liverpool,69,130920000
2020-2021,Chelsea,67,147811988
2020-2021,Leicester City,66,77526000
2020-2021,West Ham United,65,66476000
2020-2021,Tottenham Hotspur,62,134476000
2020-2021,Arsenal,61,147450000
2020-2021,Leeds United,59,24186400
2020-2021,Everton,59,92073000
2020-2021,Aston Villa,55,62113024
2020-2021,Newcastle United,45,57546000
2020-2021,Wolverhampton Wanderers,45,51513800
2020-2021,Crystal Palace,44,88735000
2020-2021,Southampton,43,57184000
2020-2021,Brighton & Hove Albion,41,51578900
2020-2021,Burnley,39,36751000
2020-2021,Fulham,28,52168824
2020-2021,West Bromwich Albion,26,37088200
2020-2021,Sheffield United,23,20087200
2021-2022,Manchester City,93,151552000
2021-2022,Liverpool,92,144412000
2021-2022,Chelsea,74,175890000
2021-2022,Tottenham Hotspur,71,110190000
2021-2022,Arsenal,69,114370000
2021-2022,Manchester United,58,238850000
2021-2022,West Ham United,56,74556000
2021-2022,Leicester City,52,74370000
2021-2022,Brighton & Hove Albion,51,46470000
2021-2022,Wolverhampton Wanderers,51,57270000
2021-2022,Newcastle United,49,68570000
2021-2022,Crystal Palace,48,72950000
2021-2022,Brentford,46,21130000
2021-2022,Aston Villa,45,71490000
2021-2022,Southampton,40,52580000
2021-2022,Everton,39,92698000
2021-2022,Leeds United,38,23810000
2021-2022,Burnley,35,39520000
2021-2022,Watford,23,41380000
2021-2022,Norwich City,22,31320000
2022-2023,Manchester City,89,194740000
2022-2023,Arsenal,84,101660000
2022-2023,Manchester United,75,228514000
2022-2023,Newcastle United,71,82836000
2022-2023,Liverpool,67,161980000
2022-2023,Brighton & Hove Albion,62,38376000
2022-2023,Aston Villa,61,100620000
2022-2023,Tottenham Hotspur,60,109330000
2022-2023,Brentford,59,32136000
2022-2023,Fulham,52,54340000
2022-2023,Crystal Palace,45,66820000
2022-2023,Chelsea,44,190060000
2022-2023,Wolverhampton Wanderers,41,52182000
2022-2023,West Ham United,40,82420000
2022-2023,AFC Bournemouth,39,38428000
2022-2023,Nottingham Forest,38,53430000
2022-2023,Everton,36,84812000
2022-2023,Leicester City,34,78780000
2022-2023,Leeds United,31,49374000
2022-2023,Southampton,25,49556000
2023-2024,Manchester City,91,201032000
2023-2024,Arsenal,89,166036000
2023-2024,Liverpool,82,136240000
2023-2024,Aston Villa,68,117150000
2023-2024,Tottenham Hotspur,66,117520000
2023-2024,Chelsea,63,157040000
2023-2024,Newcastle United,60,84500000
2023-2024,Manchester United,60,205756000
2023-2024,West Ham United,52,95316000
2023-2024,Crystal Palace,49,69050000
2023-2024,Brighton & Hove Albion,48,62400000
2023-2024,AFC Bournemouth,48,54834000
2023-2024,Fulham,47,66690000
2023-2024,Wolverhampton Wanderers,46,53820000
2023-2024,Everton,40,78978000
2023-2024,Brentford,39,39936000
2023-2024,Nottingham Forest,32,72050000
2023-2024,Luton Town,26,24570000
2023-2024,Burnley,24,38506000
2023-2024,Sheffield United,16,28756000
2024-2025,Liverpool,84,128804000
2024-2025,Arsenal,74,169416000
2024-2025,Manchester City,71,201864000
2024-2025,Chelsea,69,172120000
2024-2025,Newcastle United,66,103272000
2024-2025,Aston Villa,66,107536000
2024-2025,Nottingham Forest,65,63492000
2024-2025,Brighton & Hove Albion,61,61958000
2024-2025,AFC Bournemouth,56,54704000
2024-2025,Brentford,56,41470000
2024-2025,Fulham,54,68406000
2024-2025,Crystal Palace,53,69810000
2024-2025,Everton,48,71422000
2024-2025,West Ham United,43,90220000
2024-2025,Manchester United,42,180848000
2024-2025,Wolverhampton Wanderers,42,54262000
2024-2025,Tottenham Hotspur,38,104286000
2024-2025,Leicester City,25,65416000
2024-2025,Ipswich Town,22,34216000
2024-2025,Southampton,12,56030000
